PassageiroId,Idade,FaixaEtaria,Classe,PortoEmbarqueNum,ParentesIrmao,ParentesFilhos,SexoNum,SaudacaoNum,PassagemPreco,FamiliaQtde,EstaSozinho,TemCabine,Sobreviventes
1,22.0,6.0,3,1,1,0,1,0,7.25,1,0.0,0.0,0
2,38.0,9.0,1,2,1,0,0,1,71.2833,1,0.0,1.0,1
3,26.0,7.0,3,1,0,0,0,2,7.925,0,1.0,0.0,1
4,35.0,9.0,1,1,1,0,0,1,53.1,1,0.0,1.0,1
5,35.0,9.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
6,,,3,3,0,0,1,0,8.4583,0,1.0,0.0,0
7,54.0,12.0,1,1,0,0,1,0,51.8625,0,1.0,1.0,0
8,2.0,2.0,3,1,3,1,1,3,21.075,4,0.0,0.0,0
9,27.0,7.0,3,1,0,2,0,1,11.1333,2,0.0,0.0,1
10,14.0,4.0,2,2,1,0,0,1,30.0708,1,0.0,0.0,1
11,4.0,2.0,3,1,1,1,0,2,16.7,2,0.0,1.0,1
12,58.0,13.0,1,1,0,0,0,2,26.55,0,1.0,1.0,1
13,20.0,6.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
14,39.0,9.0,3,1,1,5,1,0,31.275,6,0.0,0.0,0
15,14.0,4.0,3,1,0,0,0,2,7.8542,0,1.0,0.0,0
16,55.0,13.0,2,1,0,0,0,1,16.0,0,1.0,0.0,1
17,2.0,2.0,3,3,4,1,1,3,29.125,5,0.0,0.0,0
18,,,2,1,0,0,1,0,13.0,0,1.0,0.0,1
19,31.0,8.0,3,1,1,0,0,1,18.0,1,0.0,0.0,0
20,,,3,2,0,0,0,1,7.225,0,1.0,0.0,1
21,35.0,9.0,2,1,0,0,1,0,26.0,0,1.0,0.0,0
22,34.0,8.0,2,1,0,0,1,0,13.0,0,1.0,1.0,1
23,15.0,5.0,3,3,0,0,0,2,8.0292,0,1.0,0.0,1
24,28.0,7.0,1,1,0,0,1,0,35.5,0,1.0,1.0,1
25,8.0,3.0,3,1,3,1,0,2,21.075,4,0.0,0.0,0
26,38.0,9.0,3,1,1,5,0,1,31.3875,6,0.0,0.0,1
27,,,3,2,0,0,1,0,7.225,0,1.0,0.0,0
28,19.0,5.0,1,1,3,2,1,0,263.0,5,0.0,1.0,0
29,,,3,3,0,0,0,2,7.8792,0,1.0,0.0,1
30,,,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
31,40.0,10.0,1,2,0,0,1,4,27.7208,0,1.0,0.0,0
32,,,1,2,1,0,0,1,146.5208,1,0.0,1.0,1
33,,,3,3,0,0,0,2,7.75,0,1.0,0.0,1
34,66.0,15.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
35,28.0,7.0,1,2,1,0,1,0,82.1708,1,0.0,0.0,0
36,42.0,10.0,1,1,1,0,1,0,52.0,1,0.0,0.0,0
37,,,3,2,0,0,1,0,7.2292,0,1.0,0.0,1
38,21.0,6.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
39,18.0,5.0,3,1,2,0,0,2,18.0,2,0.0,0.0,0
40,14.0,4.0,3,2,1,0,0,2,11.2417,1,0.0,0.0,1
41,40.0,10.0,3,1,1,0,0,1,9.475,1,0.0,0.0,0
42,27.0,7.0,2,1,1,0,0,1,21.0,1,0.0,0.0,0
43,,,3,2,0,0,1,0,7.8958,0,1.0,0.0,0
44,3.0,2.0,2,2,1,2,0,2,41.5792,3,0.0,0.0,1
45,19.0,5.0,3,3,0,0,0,2,7.8792,0,1.0,0.0,1
46,,,3,1,0,0,1,0,8.05,0,1.0,0.0,0
47,,,3,3,1,0,1,0,15.5,1,0.0,0.0,0
48,,,3,3,0,0,0,2,7.75,0,1.0,0.0,1
49,,,3,2,2,0,1,0,21.6792,2,0.0,0.0,0
50,18.0,5.0,3,1,1,0,0,1,17.8,1,0.0,0.0,0
51,7.0,3.0,3,1,4,1,1,3,39.6875,5,0.0,0.0,0
52,21.0,6.0,3,1,0,0,1,0,7.8,0,1.0,0.0,0
53,49.0,11.0,1,2,1,0,0,1,76.7292,1,0.0,1.0,1
54,29.0,7.0,2,1,1,0,0,1,26.0,1,0.0,0.0,1
55,65.0,15.0,1,2,0,1,1,0,61.9792,1,0.0,1.0,0
56,,,1,1,0,0,1,0,35.5,0,1.0,1.0,1
57,21.0,6.0,2,1,0,0,0,2,10.5,0,1.0,0.0,1
58,28.5,7.0,3,2,0,0,1,0,7.2292,0,1.0,0.0,0
59,5.0,3.0,2,1,1,2,0,2,27.75,3,0.0,0.0,1
60,11.0,4.0,3,1,5,2,1,3,46.9,7,0.0,0.0,0
61,22.0,6.0,3,2,0,0,1,0,7.2292,0,1.0,0.0,0
62,38.0,9.0,1,4,0,0,0,2,80.0,0,1.0,1.0,1
63,45.0,11.0,1,1,1,0,1,0,83.475,1,0.0,1.0,0
64,4.0,2.0,3,1,3,2,1,3,27.9,5,0.0,0.0,0
65,,,1,2,0,0,1,0,27.7208,0,1.0,0.0,0
66,,,3,2,1,1,1,3,15.2458,2,0.0,0.0,1
67,29.0,7.0,2,1,0,0,0,1,10.5,0,1.0,1.0,1
68,19.0,5.0,3,1,0,0,1,0,8.1583,0,1.0,0.0,0
