PassageiroId,FaixaEtaria,Classe,PortoEmbarqueNum,ParentesIrmao,ParentesFilhos,SexoNum,SaudacaoNum,PassagemPreco,FamiliaQtde,EstaSozinho,TemCabine,Sobreviventes
1,6.0,3,1,1,0,1,0,7.25,1,0.0,0.0,0
2,9.0,1,2,1,0,0,1,71.2833,1,0.0,1.0,1
3,7.0,3,1,0,0,0,2,7.925,0,1.0,0.0,1
4,9.0,1,1,1,0,0,1,53.1,1,0.0,1.0,1
5,9.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
7,12.0,1,1,0,0,1,0,51.8625,0,1.0,1.0,0
8,2.0,3,1,3,1,1,3,21.075,4,0.0,0.0,0
9,7.0,3,1,0,2,0,1,11.1333,2,0.0,0.0,1
10,4.0,2,2,1,0,0,1,30.0708,1,0.0,0.0,1
11,2.0,3,1,1,1,0,2,16.7,2,0.0,1.0,1
12,13.0,1,1,0,0,0,2,26.55,0,1.0,1.0,1
13,6.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
14,9.0,3,1,1,5,1,0,31.275,6,0.0,0.0,0
15,4.0,3,1,0,0,0,2,7.8542,0,1.0,0.0,0
16,13.0,2,1,0,0,0,1,16.0,0,1.0,0.0,1
17,2.0,3,3,4,1,1,3,29.125,5,0.0,0.0,0
19,8.0,3,1,1,0,0,1,18.0,1,0.0,0.0,0
21,9.0,2,1,0,0,1,0,26.0,0,1.0,0.0,0
22,8.0,2,1,0,0,1,0,13.0,0,1.0,1.0,1
23,5.0,3,3,0,0,0,2,8.0292,0,1.0,0.0,1
24,7.0,1,1,0,0,1,0,35.5,0,1.0,1.0,1
25,3.0,3,1,3,1,0,2,21.075,4,0.0,0.0,0
26,9.0,3,1,1,5,0,1,31.3875,6,0.0,0.0,1
28,5.0,1,1,3,2,1,0,263.0,5,0.0,1.0,0
31,10.0,1,2,0,0,1,4,27.7208,0,1.0,0.0,0
34,15.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
35,7.0,1,2,1,0,1,0,82.1708,1,0.0,0.0,0
36,10.0,1,1,1,0,1,0,52.0,1,0.0,0.0,0
38,6.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
39,5.0,3,1,2,0,0,2,18.0,2,0.0,0.0,0
40,4.0,3,2,1,0,0,2,11.2417,1,0.0,0.0,1
41,10.0,3,1,1,0,0,1,9.475,1,0.0,0.0,0
42,7.0,2,1,1,0,0,1,21.0,1,0.0,0.0,0
44,2.0,2,2,1,2,0,2,41.5792,3,0.0,0.0,1
45,5.0,3,3,0,0,0,2,7.8792,0,1.0,0.0,1
50,5.0,3,1,1,0,0,1,17.8,1,0.0,0.0,0
51,3.0,3,1,4,1,1,3,39.6875,5,0.0,0.0,0
